"","State","cause","y1","y2","y3","y4","mortality"
"56","Arizona","C2",127.4,127.7,114.2,115.1,484.4
"57","Arkansas","C2",77,90.2,67.4,81.3,315.9
"58","California","C2",85.6,83.1,82.5,76,327.2
"59","Colorado","C2",72.7,95.4,92.7,86.8,347.6
"60","Connecticut","C2",125.2,NA,76.6,NA,201.8
"61","Delaware","C2",NA,NA,NA,NA,0
"62","District of Columbia","C2",NA,NA,NA,NA,0
"63","Florida","C2",87,77,69.2,63.6,296.8
"64","Georgia","C2",175.9,184.3,30.7,39,429.9
"65","Hawaii","C2",465.5,NA,NA,NA,465.5
"66","Idaho","C2",170.3,173.5,146.1,122.1,612
"67","Illinois","C2",51.2,50.9,61.6,40.7,204.4
"68","Indiana","C2",69.3,NA,NA,NA,69.3
"69","Iowa","C2",NA,NA,209.1,170.4,379.5
"70","Kansas","C2",221.8,195,273.4,250,940.2
"71","Kentucky","C2",NA,NA,NA,NA,0
"72","Louisiana","C2",78.9,79.6,79.9,88.1,326.5
"73","Maine","C2",406.8,339.3,304.7,190.4,1241.2
"74","Maryland","C2",157.3,104.3,72.6,36.4,370.6
"75","Massachusetts","C2",67.7,89.7,70.1,63.5,291
"76","Michigan","C2",237.9,220.9,191.1,171.3,821.2
"77","Minnesota","C2",224.5,245.7,212.7,230.1,913
"78","Mississippi","C2",217.3,143.4,150.8,121,632.5
"79","Missouri","C2",119.9,97.4,100.9,88.5,406.7
"80","Montana","C2",283.1,253,244.2,203.1,983.4
"81","Nebraska","C2",184.8,217.3,165.7,154.6,722.4
"82","Nevada","C2",116.2,103.7,109.6,111.7,441.2
"83","New Hampshire","C2",NA,NA,NA,NA,0
"84","New Jersey","C2",74.7,86.9,56.2,52.9,270.7
"85","New Mexico","C2",137.4,113.5,125.4,108.8,485.1
"86","New York","C2",57,66.9,58.1,44.5,226.5
"87","North Carolina","C2",168.1,169.7,155.2,150.6,643.6
"88","North Dakota","C2",269.3,267.6,304.6,231.9,1073.4
"89","Ohio","C2",59.1,37.5,64.9,67.9,229.4
"90","Oklahoma","C2",159.6,179.1,193,197.2,728.9
"91","Oregon","C2",194,163.7,158.3,154.4,670.4
"92","Pennsylvania","C2",55.9,72,46.7,48.2,222.8
"93","Rhode Island","C2",NA,NA,135.8,NA,135.8
